,index,lat,lng,title,duration,price,time,day
36,36,48.8841155,2.3465937,Home,,,,1
35,35,48.87691,2.3811,Parc des Buttes-Chaumont,0 days 01:30:00,0,7:00 AM - 10:00 PM,1
34,34,48.861656,2.38077,Atelier des Lumières,0 days 01:00:00,0,10:00 AM - 7:00 PM,1
33,33,48.861015,2.395581,Père-Lachaise Cemetery,0 days 01:30:00,0,9:00 AM - 5:30 PM,1
32,32,48.8565798,2.7965615,Disney,,,,2
31,31,48.83286,2.389144,Musée des Arts Forains,0 days 01:30:00,0,404,2
30,30,48.855614,2.365553,Place des Vosges,0 days 01:30:00,0,12:00 AM - 11:59 PM,2
29,29,48.85312,2.35072,Towers of Notre-Dame Cathedral,0 days 01:30:00,0,404,2
28,28,48.853,2.3498,Cathédrale Notre-Dame de Paris,0 days 01:30:00,0,404,3
27,27,48.851433,2.343172,Latin Quarter,0 days 03:00:00,0,12:00 AM - 11:59 PM,3
26,26,48.846222,2.346414,Panthéon,0 days 02:30:00,0,10:00 AM - 6:00 PM,3
25,25,48.8454425,2.3421413,"Terra Nera, 18 Rue des Fossés Saint-Jacques, 75005 Paris, França",,,,3
24,24,48.84615,2.337203,Luxembourg Gardens,0 days 02:30:00,0,7:30 AM - 4:30 PM,4
23,23,48.84234,2.321686,Observatoire Panoramique de la Tour Montparnasse,0 days 01:30:00,0,11:00 AM - 10:30 PM,4
22,22,48.855587,2.315836,Musée Rodin,0 days 01:30:00,15.23,10:00 AM - 6:30 PM,4
21,21,48.856712,2.312655,Musee de l’Armee des Invalides,0 days 01:30:00,0,10:00 AM - 6:00 PM,4
20,20,48.858353,2.294464,Eiffel Tower,0 days 01:30:00,37.73,9:30 AM - 10:45 PM,5
19,19,48.8048649,2.1181667,Palace of Versailles,,,,5
18,18,48.873787,2.295047,Arc de Triomphe,0 days 01:00:00,33.77,10:00 AM - 11:00 PM,5
17,17,48.869648,2.308196,Champs-Elysees,0 days 01:30:00,0,12:00 AM - 11:59 PM,5
16,16,48.86395,2.31359,Pont Alexandre III,0 days 01:00:00,0,404,6
15,15,48.866085,2.314753,Petit Palais,0 days 02:30:00,0,10:00 AM - 6:00 PM,6
14,14,48.863255,2.327549,Jardin des Tuileries,0 days 02:30:00,0,7:00 AM - 9:30 PM,6
13,13,48.860035,2.32685,Musée d'Orsay,0 days 03:00:00,4.08,9:30 AM - 6:00 PM,6
12,12,48.8541623,2.3304159,"Café de Flore, 172 Bd Saint-Germain, 75006 Paris, França",,,,7
11,11,48.858776,2.335496,Seine River,0 days 01:30:00,54.73,404,7
10,10,48.861,2.335833,Louvre Museum,0 days 01:00:00,44.25,9:00 AM - 6:00 PM,7
9,9,48.8633992,2.335901,"Bistrot Valois, 1 Pl. de Valois, 75001 Paris, França",,,,7
8,8,48.8637569,2.3349374,"Palais Royal, 8 Rue de Montpensier, 75001 Paris, França",,,,8
7,7,48.8649723,2.3356174,"Palais-Royal Garden, 43 Rue de Valois, 75001 Paris, França",,,,8
6,6,48.871853,2.33106,Palais Garnier,0 days 01:30:00,17.47,404,8
5,5,48.873596,2.33215,Galeries Lafayette Paris Haussmann,0 days 02:30:00,0,11:00 AM - 6:00 PM,8
4,4,48.8840235,2.3322469,Moulin Rouge,,,,9
3,3,48.8849176,2.3314425,Café des Deux Moulins,,,,9
2,2,48.8882424,2.3367553,"Rue de l'Abreuvoir, 75018 Paris, França",,,,9
1,1,48.88662,2.338907,Montmartre,0 days 01:30:00,0,404,9
0,0,48.886703,2.343081,Basilique du Sacre-Coeur de Montmartre,0 days 01:30:00,0,8:30 AM - 8:00 PM,0
