,title,lat,lng,price,link,time,duration,address,neighborhood,points,obs,category,mail
0,Home,48.8841155,2.3465937,,,,,,,,,,
0,Disney,48.8565798,2.7965615,,,,,,,,,,
0,Café des Deux Moulins,48.8849176,2.3314425,,,,,,,,,,
0,Moulin Rouge,48.8840235,2.3322469,,,,,,,,,,
0,Palace of Versailles,48.8048649,2.1181667,,,,,,,,,,
0,"Palais-Royal Garden, 43 Rue de Valois, 75001 Paris, França",48.8649723,2.3356174,,,,,,,,,,
0,"Palais Royal, 8 Rue de Montpensier, 75001 Paris, França",48.8637569,2.3349374,,,,,,,,,,
0,"Rue de l'Abreuvoir, 75018 Paris, França",48.8882424,2.3367553,,,,,,,,,,
0,"Terra Nera, 18 Rue des Fossés Saint-Jacques, 75005 Paris, França",48.8454425,2.3421413,,,,,,,,,,
0,"Café de Flore, 172 Bd Saint-Germain, 75006 Paris, França",48.8541623,2.3304159,,,,,,,,,,
0,"Bistrot Valois, 1 Pl. de Valois, 75001 Paris, França",48.8633992,2.335901,,,,,,,,,,
0,Musée d'Orsay,48.860035,2.32685,4.08,404,9:30 AM - 6:00 PM,03:00:00,"1 Rue De La Légion d'Honneur, 75007 Paris France",Neighborhood: Tour Eiffel / Invalides,"66,003","#1 of 3,296 things to do in Paris",Art Museums,Visit websiteCallEmail
1,Cathédrale Notre-Dame de Paris,48.853,2.3498,0,https://www.notredamedeparis.fr/,404,01:30:00,"6 Parvis Notre-Dame Place Jean-Paul II, 75004 Paris France",Neighborhood: Ile de la Cité / Ile Saint-Louis,"71,297","#6 of 3,296 things to do in Paris",Historic Sites • Architectural Buildings • Churches & Cathedrals,Visit websiteCallEmail
2,Sainte-Chapelle,48.85546,2.3448,91.99,404,9:00 AM - 5:00 PM,01:00:00,"8 Boulevard du Palais, 75001 Paris France",Neighborhood: Ile de la Cité / Ile Saint-Louis,"27,259","#2 of 3,296 things to do in Paris",Historic Sites • Architectural Buildings • Churches & Cathedrals,Visit websiteCallEmail
3,Palais Garnier,48.871853,2.33106,17.47,404,404,01:30:00,"Place de l’Opéra entrance at the corner of Scribe and Auber streets, 75009 Paris France",Neighborhood: 9th Arr. - Opéra,"19,511","#3 of 3,296 things to do in Paris",Architectural Buildings • Theaters,Visit websiteCallEmail
4,Eiffel Tower,48.858353,2.294464,37.73,404,9:30 AM - 10:45 PM,01:30:00,"5 Avenue Anatole France, 75007 Paris France",Neighborhood: Gros-Caillou,"140,551","#12 of 3,296 things to do in Paris",Points of Interest & Landmarks • Observation Decks & Towers,Visit websiteCall
5,Musee de l'Orangerie,48.863743,2.322778,0,404,9:00 AM - 6:00 PM,01:00:00,"Jardin des Tuileries - Cote Seine, 75001 Paris France",Neighborhood: Louvre / Palais-Royal,"17,208","#8 of 3,296 things to do in Paris",Speciality Museums,Visit websiteCallEmail
6,Arc de Triomphe,48.873787,2.295047,33.77,404,10:00 AM - 11:00 PM,01:00:00,"Place Charles de Gaulle, 75008 Paris France",Neighborhood: 8th Arr. - Élysée,"45,251","#13 of 3,296 things to do in Paris",Historic Sites • Architectural Buildings • Monuments & Statues,Visit websiteCall
7,Louvre Museum,48.861,2.335833,44.25,404,9:00 AM - 6:00 PM,01:00:00,"99 rue de Rivoli, 75001 Paris France",Neighborhood: Louvre / Palais-Royal,"101,107","#15 of 3,296 things to do in Paris",Points of Interest & Landmarks • Architectural Buildings • Art Museums,Visit websiteCallEmail
